waypoint1	waypoint2	distance_m	duration_s
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Virupaksha Temple, Hampi, Karnataka, India	1488993	76238
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	986554	51710
Solang Valley, Burwa, Himachal Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	2021328	107071
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	423322	20733
Mehrangarh Fort, Jodhpur, Rajasthan, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	988064	52049
Marina Beach, Chennai, Tamil Nadu, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1849935	89524
Amer Fort and Palace, Jaipur, Rajasthan, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1209229	60544
India Backwaters, Kochi, Kerala, India	Jog Falls, Karnataka, India	630689	48317
Golden Temple, Amritsar, Punjab, India	Palolem Beach, Goa, India	2237676	126636
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Kaziranga National Park, Kanchanjuri, Assam, India	3316735	189027
Dal Lake, Rainawari, Srinagar	Taj Mahal, Agra, Uttar Pradesh, India	1063959	65392
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Virupaksha Temple, Hampi, Karnataka, India	1743453	96699
Gandhi Smriti, New Delhi, Delhi, India	Virupaksha Temple, Hampi, Karnataka, India	1876168	102446
Solang Valley, Burwa, Himachal Pradesh, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	760974	46353
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Charminar, Hyderabad, Telangana, India	725250	41628
Gandhi Smriti, New Delhi, Delhi, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	682834	33696
Golden Temple, Amritsar, Punjab, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	756632	41980
Swaminarayan Akshardham, New Delhi, Delhi, India	Charminar, Hyderabad, Telangana, India	1546442	82117
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1422285	73148
Maharajah's Palace, Mysore, Karnataka, India	Agra Fort, Agra, Uttar Pradesh, India	2071995	109224
Kaziranga National Park, Kanchanjuri, Assam, India	Charminar, Hyderabad, Telangana, India	2618653	151614
Golden Temple, Amritsar, Punjab, India	India Backwaters, Kochi, Kerala, India	3146455	165773
Qutub Minar, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	582698	30443
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Maharajah's Palace, Mysore, Karnataka, India	2085131	109195
Virupaksha Temple, Hampi, Karnataka, India	India Backwaters, Kochi, Kerala, India	894874	50409
